Date,,Home/Away,Opp,PAs,Stadium,non-HR in at least 1,HR/30,Distance,Result,HR at Yankee,HR at Opp
Sep 13,NYY,home,BOS,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Sep 14,NYY,home,BOS,4,Yankee Stadium,1,1,320,F9,no,yes
Sep 15,NYY,home,BOS,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Sep 17,NYY,away,SEA,5,T-Mobile Park,0,n/a,n/a,n/a,n/a,n/a
Sep 18,NYY,away,SEA,4,T-Mobile Park,0,n/a,n/a,n/a,n/a,n/a
Sep 19,NYY,away,SEA,4,T-Mobile Park,0,n/a,n/a,n/a,n/a,n/a
Sep 20,NYY,away,OAK,4,Oakland Coliseum,0,n/a,n/a,n/a,n/a,n/a
Sep 21,NYY,away,OAK,4,Oakland Coliseum,0,n/a,n/a,n/a,n/a,n/a
Sep 22,NYY,away,OAK,5,Oakland Coliseum,0,n/a,n/a,n/a,n/a,n/a
Sep 24,NYY,home,BAL,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Sep 25,NYY,home,BAL,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Sep 26,NYY,home,BAL,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Sep 28,NYY,home,PIT,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
